L2,H1,Jaccard,Hausdorff,Elements,Vertices,SizeMin,SizeMax,PreMeshCompTime,RefineTime,SolveTime
0.1920244291719777,0.6231500589718054,0.33153597546432584,0.42576487928404066,80,53,0.6277904724389106,0.9632341922267929,0.03572784999960277,0.0030117969999992056,0.09179983700050798
0.03971087035945904,0.3015130885961111,0.8373960700747413,0.181832260725881,320,185,0.29679268935251596,0.4991210075368948,0.018794177998643136,0.018988484000146855,0.2843924570006493
0.013141764263916621,0.15561833742669762,0.8643490359643352,0.09506256358517266,1115,589,0.13264955060310793,0.4895614844352596,0.021756489000836154,0.050986842999918736,0.1879146010014665
0.004165553495072826,0.09229759711140416,0.945694049348119,0.05491990751082184,2519,1291,0.06304186383441919,0.4895592459713913,0.028089151999665773,0.12795769299918902,0.3329779690011492
0.0028027193228427737,0.07285421871631652,0.9733094302909325,0.029988111832927575,5321,2692,0.032213571628245785,0.4895592530843977,0.03410153100048774,0.2513759449993813,0.46838935100095114
0.0025824721406373687,0.06886557857614027,0.9856165856126764,0.01629167306940382,10815,5439,0.01652638461916653,0.48955925310484943,0.06312896300005377,0.65465385799871,0.8890828759995202
0.0025268488814549385,0.06823706562364654,0.9935604403252458,0.007610814520618437,21529,10796,0.00830950852083718,0.4895592530926628,0.1085531649987388,1.5945485629999894,2.1517436310004996
