L2,Jaccard,Hausdorff,Elements,Vertices,SizeMin,SizeMax,MeshTime,SolveTime
0.04031472516014835,0.6962122070447316,0.2061895614306347,188,113,0.3894558789948679,0.6431404325802621,1.1175985499999115,0.10746365499971944
0.007476485137359715,0.8868930231007659,0.15555265765269546,411,223,0.16936737298798182,0.8621847040747543,0.3143232080001326,0.3030750480002098
0.004015921190148539,0.9481441735574647,0.05613383946280085,1040,538,0.06918108937779287,0.8072263011781128,0.3585927129997799,0.18727066800011016
0.002494474148279099,0.9771618260854836,0.031148119759276265,2108,1072,0.03561949662709738,0.7005232825301767,0.4705782780001755,0.2517392610002389
0.00284558833662503,0.9873275609187504,0.020454719624226313,4226,2131,0.016475640163417054,0.7834097857193637,0.7470411250001234,0.3908810509997238
0.002154699489531382,0.9921529675933778,0.012548670739025377,8152,4094,0.007443340472612769,0.7330734943718278,1.0730955630001517,0.753283890000148
0.0021495481379969106,0.996239408109659,0.004053280495142547,15992,8014,0.004449380322933768,0.6903357177997226,1.4543360159996155,1.4953615389999868
