L2,H1,Jaccard,Hausdorff,Elements,Vertices,SizeMin,SizeMax,PreMeshCompTime,RefineTime,SolveTime
0.2405666600138174,0.8846300614792474,0.6962122070447316,0.2061895614306347,188,113,0.3894558789948679,0.6431404325802621,0.07714695400500204,0.008605290990089998,0.5169719560071826
0.20623903066164734,0.8369220013248506,0.8097262603085724,0.19122750206062042,350,194,0.17299109456532324,0.641880043562157,0.019674413997563533,0.01639843599696178,0.3227890039997874
0.19738592771200433,0.8016152014853086,0.9317618389983909,0.1154723621245738,834,436,0.0693932445967114,0.6408600196650356,0.02152446800027974,0.031748630994115956,0.17521384499559645
0.19586403271257857,0.7931954701728491,0.9577857130517233,0.07533614932382261,1646,842,0.030952058897955572,0.6408589144373764,0.0232886919984594,0.06051646699779667,0.2170574660121929
0.19563178177721996,0.7904672915984361,0.981186158966026,0.036882471077765544,3250,1644,0.012397016468990846,0.6408588192203606,0.024579934004577808,0.12196045699238311,0.35184355499222875
0.1955954386840505,0.7897572067945591,0.9908168050975273,0.01508567230324884,6394,3216,0.008773638611637711,0.6408588192445555,0.030924363003578037,0.24873377599578816,0.5298288779886207
0.19558961833204494,0.7895710873768239,0.994901535920981,0.007754908972508669,12566,6302,0.004610950685111277,0.6408588192469379,0.05991157800599467,0.4915093500021612,1.1424778850050643
