L2,H1,Jaccard,Hausdorff,Elements,Vertices,SizeMin,SizeMax,PreMeshCompTime,RefineTime,SolveTime
0.19202423301780255,0.6231717703045456,0.3315380439480981,0.4257648792840407,80,53,0.6277904724389103,0.9632341922267931,0.6338716990030662,0.0036006500013172626,0.10184565899908193
0.03971076842417123,0.30149977317178217,0.8374003187007406,0.1818322607258811,320,185,0.2967926893525162,0.49912100753689437,0.5908897099980095,0.015557693997834576,0.24771721399883972
0.012591130535305545,0.15333357954305055,0.864354341872061,0.09506256358517277,1242,660,0.1233624190701888,0.38108738225594446,0.38585391499873367,0.08424065500003053,0.20958873299969127
0.003081487472070862,0.08196983636209297,0.9456894689073555,0.05491990751082202,3527,1808,0.06402010552281782,0.38076542784490297,0.4185449670003436,0.2735618299993803,0.31403162100104964
0.0011899427671314057,0.050091095019310486,0.9724470491254859,0.031110601339412458,9129,4634,0.03042857546358676,0.19852866150241477,0.45370777399875806,0.8986848339991411,0.745617468997807
0.0009180493210650989,0.03793034103546179,0.9851907466505458,0.01678179005327868,20575,10375,0.016403338582299892,0.19052089875247485,0.5397789089984144,2.92118327499702,1.570919991001574
0.000876578546513775,0.03181951202765555,0.9931790429948174,0.008137370990865493,45869,23075,0.008311346422047595,0.10998971191075858,0.7289216410026711,11.851028913999471,3.769883556997229
