L2,Jaccard,Hausdorff,Elements,Vertices,SizeMin,SizeMax,MeshTime,SolveTime
0.04031472516014835,0.6962122070447316,0.2061895614306347,188,113,0.3894558789948679,0.6431404325802621,0.125378559998353,0.11898369100526907
0.007489124828203484,0.8097262603085723,0.19122750206062042,739,403,0.12622950615967504,0.5390898889333462,0.08225394199689617,0.5842907369951718
0.0024247612477164655,0.9317618389983908,0.1154723621245738,2135,1101,0.0772323662623885,0.5391111718721933,0.16296264000266092,0.3157262750028167
0.0017363340024605482,0.9570523332235968,0.07533614932382261,4873,2470,0.03849086449037386,0.5391111706523841,0.2813221759934095,0.5434903370041866
0.001385687983169278,0.9779527443948229,0.036882471077765544,10231,5149,0.022664691445961747,0.5391111706201706,0.5700625630051945,0.9078159510027035
0.0012976223288898021,0.9899403272750694,0.017174380920968114,20675,10371,0.01036636938605876,0.5391111705890098,0.963721242005704,2.092141637003806
0.0012750834078195045,0.9954064576574622,0.009697786133157022,41217,20642,0.0055385495961910395,0.5391111705045466,2.0279997040051967,4.323177906997444
