L2,H1,Jaccard,Hausdorff,Elements,Vertices,SizeMin,SizeMax,PreMeshCompTime,RefineTime,SolveTime
0.3337628293744861,0.8372344039812625,0.24261555977823993,0.5978668619476633,116,76,0.7474482405759595,1.2201277408776894,0.2970808339960058,0.014058952001505531,0.10071090499695856
0.07111877258307289,0.4244304052884877,0.7725062630241768,0.3403244887107327,245,145,0.38231697978122653,1.1914147231637935,0.4851531200038153,0.012817738002922852,0.4271681719983462
0.029457444648207726,0.2549532907277101,0.8634229228804459,0.14803533001249,527,288,0.17871274155691988,1.0436595505784398,0.46114625799964415,0.028481462999479845,0.21389118699880783
0.014597323710957014,0.18777557944038759,0.9124978140396288,0.07973821044033619,1071,563,0.09870835878536618,1.0926537346952712,0.4584107379996567,0.06346180800028378,0.2130586069979472
0.00978205255687956,0.15647980837745332,0.9593788568836107,0.04214418556104503,2074,1068,0.04319245084262401,1.0932505813938629,0.46918447299685795,0.15584483999555232,0.2766840849944856
0.007768047968918078,0.13240961356373604,0.9824312703413823,0.020730105635174818,4176,2128,0.020458149885043825,1.0926406944179106,0.45458327300002566,0.2624548160019913,0.4181794039977831
0.005740678295213966,0.11308044562400428,0.9914299433279988,0.010355495671375992,8235,4164,0.009672052580374521,1.1000799913980404,0.4732139499974437,0.6006131820031442,0.8032989509956678
