L2,H1,Jaccard,Hausdorff,Elements,Vertices,SizeMin,SizeMax,PreMeshCompTime,RefineTime,SolveTime
0.3337628293744861,0.8372344039812625,0.24261555977823993,0.5978668619476633,116,76,0.7474482405759595,1.2201277408776894,0.05566588700094144,0.004652976000215858,0.0842126699972141
0.0788670627611392,0.47444711445329874,0.7725062630241769,0.3403244887107327,178,108,0.36695554643512607,1.1491693269531245,0.024985717001982266,0.00728400300067733,0.2556489529997634
0.04321411345411153,0.3449298865418354,0.8634229228804459,0.14803533001249,328,183,0.18284757003776275,1.1055744255907451,0.029607407999719726,0.02094359599868767,0.15064220799831674
0.036187781829164156,0.3178387072354539,0.9172182061788079,0.07930664248546211,618,328,0.08324419125466659,1.105983179674493,0.026624171001458308,0.030996876001154305,0.22596904000238283
0.0342579645137068,0.3033644932275962,0.9623272115253428,0.033005636146569026,1239,639,0.03746155543221115,1.1061399363051352,0.026285051000741078,0.06266767299894127,0.2068983360004495
0.034096252457885466,0.3003486467383149,0.9816855049803008,0.021773690474909617,2491,1265,0.02002829342591406,1.1063412343550516,0.029256761001306586,0.13683381200098665,0.34969601099874126
0.03403879948367786,0.29985761855425447,0.9843096017156406,0.01739586138191137,4995,2517,0.008143591058068141,1.106869240366273,0.028827052999986336,0.2906794219998119,0.4147259550009039
