L2,H1,Jaccard,Hausdorff,Elements,Vertices,SizeMin,SizeMax,PreMeshCompTime,RefineTime,SolveTime
0.3337628293744861,0.8372344039812625,0.24261555977823993,0.5978668619476633,116,76,0.7474482405759595,1.2201277408776894,0.054379424000217114,0.015135301000555046,0.08051324400003068
0.0680905820032618,0.41296759596396715,0.7725062630241769,0.3403244887107327,342,197,0.4127391493528351,1.1406493427929982,0.026303561000531772,0.019666703999973834,0.43841253999926266
0.0231858911095391,0.22110906590797907,0.8634229228804459,0.14803533001249,851,460,0.19506515881364822,1.1405500486735953,0.020259844000975136,0.03574838599888608,0.2586279139977705
0.010375627743535131,0.1443071588762204,0.9076247488138074,0.08354727803846917,1837,953,0.09114136064566779,1.1405462979019978,0.02304222699967795,0.08630623100179946,0.3327547569970193
0.008720857028779843,0.12399781237252884,0.9581760629580751,0.04214418556104503,3643,1856,0.04940930948675625,1.1405462983735557,0.03043441400222946,0.2212926830034121,0.42314186899966444
0.008264269577139539,0.11994491411315159,0.9816726082478309,0.022143540732869258,7285,3677,0.02205106773595632,1.1405462983156134,0.054843047000758816,0.5189613749971613,0.8430576089995157
0.008186590035877832,0.11929631656014617,0.9914569500575015,0.010386699784278728,14417,7243,0.010995961889708075,1.140546298327897,0.07708226799877593,1.088134412002546,1.8642968109998037
