L2,H1,Jaccard,Hausdorff,Elements,Vertices,SizeMin,SizeMax,PreMeshCompTime,RefineTime,SolveTime
1.3907749729492829,4.846063464812044,0.0062438744708838674,0.5968749999999998,50,36,0.5656854187409736,0.5656854288120685,0.2011388809996788,0.002268248999826028,0.07154147199980798
0.5579543974525849,3.051516727294104,0.0,,198,119,0.25005236432633854,0.40550322150671414,0.11333367499992164,0.00948510600028385,0.22110752000025968
0.3003095513747003,2.4295489179981016,0.0,0.7757812500000001,486,264,0.11096829964896636,0.4060019233889137,0.3930293809999057,0.02383146400006808,0.14629798400073923
0.1378673955104691,1.755521459293672,0.007562736335510488,0.7495510537825708,1224,634,0.04961702642866402,0.31281227200553985,0.3843791680001232,0.06041829900004814,0.1836386320001111
0.08919426639533948,1.3043486150979087,0.13731110550574419,0.4499328563189317,2846,1456,0.02529970565273401,0.2943546960908227,0.38411489900045126,0.12962343000071996,0.2645935710006597
0.06801900837718221,1.137850318762546,0.2438762329023459,0.3388076879500558,5596,2831,0.011531033278316219,0.2940073531917926,0.40039440900000045,0.35062581100009993,0.4456473870004629
0.05282041195821995,0.9375846410261842,0.41293615597021216,0.32608461594778193,12373,6224,0.005771663661337308,0.2315303285670133,0.5205993400004445,0.7547266290002881,1.070563389000199
