REFINE,NE,HMIN,UERRH1,HERRINF
0,100,360000.00,1.175e-01,2.305e-01
1,400,180000.00,4.395e-02,2.305e-01
2,1600,90000.00,1.304e-02,1.186e-01
3,6400,45000.00,5.605e-03,1.186e-01
4,25600,22500.00,1.230e-03,8.759e-02
5,102400,11250.00,4.383e-04,6.344e-02
6,409600,5625.00,1.239e-04,4.608e-02
7,1638400,2812.50,2.302e-05,3.245e-02
8,6553600,1406.25,7.285e-06,2.278e-02
